lat,lng,province,province_id,region,region_id,month,season,hazard_type,hazard_type_id,base_flood_risk,base_landslide_risk,base_storm_risk,seasonal_multiplier,risk_level
20.959461,102.931525,Điện Biên,5,north,0,10,2,storm,2,3,4,1,1.0,1
21.164505,105.069637,Hòa Bình,8,north,0,4,0,flood,0,3,4,2,0.3,1
12.219036,106.470518,Bình Phước,45,south,3,3,0,landslide,1,2,2,1,0.2,1
21.86959,104.735347,Phú Thọ,15,north,0,3,0,flood,0,3,2,2,0.2,1
9.911427,106.022794,Bến Tre,52,south,3,3,0,flood,0,4,1,2,0.2,1
16.096584,108.105672,Đà Nẵng,31,central,1,2,0,landslide,1,4,2,4,0.2,1
20.616491,107.114864,Quảng Ninh,2,north,0,11,1,storm,2,3,2,3,0.8,3
21.808745,105.462838,Phú Thọ,15,north,0,12,1,storm,2,3,2,2,0.4,1
22.147022,104.410706,Yên Bái,4,north,0,9,2,flood,0,4,4,2,1.0,4
18.482671,105.497283,Hà Tĩnh,27,central,1,9,2,flood,0,5,3,5,1.0,5
18.807447,104.758651,Nghệ An,26,central,1,12,1,landslide,1,5,4,4,0.4,1
15.233382,108.221321,Quảng Nam,32,central,1,7,2,landslide,1,5,4,5,0.7,3
22.487244,104.097943,Lào Cai,3,north,0,2,0,landslide,1,4,5,2,0.2,1
11.541438,107.417289,Đồng Nai,48,south,3,3,0,storm,2,3,1,2,0.1,1
21.673709,105.955921,Bắc Giang,17,north,0,6,2,landslide,1,3,2,2,0.6,1
22.600464,106.413366,Cao Bằng,11,north,0,8,2,flood,0,3,4,2,0.8,2
10.361435,106.574549,Trà Vinh,53,south,3,6,2,landslide,1,4,1,2,0.6,1
16.611366,107.441941,Thừa Thiên Huế,30,central,1,8,2,flood,0,5,4,5,0.8,4
20.459177,105.922214,Hà Nam,22,north,0,11,1,landslide,1,3,1,2,0.8,1
21.017398,107.018865,Quảng Ninh,2,north,0,10,2,storm,2,3,2,3,1.0,3
16.300905,107.938297,Thừa Thiên Huế,30,central,1,11,1,storm,2,5,4,5,0.8,4
10.846051,105.921789,Đồng Tháp,55,south,3,7,2,flood,0,5,1,1,0.7,3
20.87317,106.772157,Hải Dương,19,north,0,2,0,storm,2,3,1,2,0.1,1
16.10982,108.469937,Đà Nẵng,31,central,1,12,1,flood,0,4,2,4,0.5,2
11.206198,107.874446,Bình Thuận,38,central,1,1,0,landslide,1,3,2,3,0.3,1
12.303402,107.631358,Đắk Nông,42,highlands,2,4,0,flood,0,3,4,2,0.3,1
16.066775,108.184932,Đà Nẵng,31,central,1,8,2,storm,2,4,2,4,0.7,2
11.234296,108.307597,Bình Thuận,38,central,1,5,1,flood,0,3,2,3,0.5,1
22.342466,106.692828,Cao Bằng,11,north,0,2,0,flood,0,3,4,2,0.2,1
20.042521,106.40236,Ninh Bình,24,north,0,6,2,storm,2,4,2,2,0.5,1
9.299695,105.811704,Bạc Liêu,61,south,3,1,0,storm,2,4,1,2,0.2,1
22.580605,106.402401,Cao Bằng,11,north,0,11,1,flood,0,3,4,2,0.9,2
9.494195,106.109134,Trà Vinh,53,south,3,3,0,flood,0,4,1,2,0.2,1
22.597744,105.3961,Hà Giang,14,north,0,8,2,landslide,1,4,5,1,0.8,4
18.257968,105.561931,Hà Tĩnh,27,central,1,3,0,storm,2,5,3,5,0.1,1
21.044532,104.798001,Phú Thọ,15,north,0,11,1,landslide,1,3,2,2,0.8,2
14.599916,107.750495,Kon Tum,39,highlands,2,6,2,landslide,1,3,4,2,0.6,3
12.696304,108.679074,Đắk Lắk,41,highlands,2,5,1,landslide,1,3,3,2,0.5,2
10.288797,105.383804,Kiên Giang,57,south,3,2,0,landslide,1,4,1,2,0.2,1
11.126818,106.443384,Tây Ninh,46,south,3,12,1,storm,2,2,1,1,0.4,1
20.640838,106.521958,Nam Định,23,north,0,1,0,storm,2,4,1,3,0.2,1
14.911576,108.390929,Quảng Ngãi,33,central,1,9,2,storm,2,5,3,4,0.9,4
19.589161,104.900524,Nghệ An,26,central,1,8,2,flood,0,5,4,4,0.8,4
21.231998,106.646053,Bắc Giang,17,north,0,2,0,storm,2,3,2,2,0.1,1
14.180395,108.150732,Gia Lai,40,highlands,2,12,1,storm,2,3,3,2,0.4,1
20.878057,106.546941,Hải Dương,19,north,0,11,1,flood,0,3,1,2,0.9,2
9.96969,106.341204,Sóc Trăng,60,south,3,6,2,flood,0,4,1,2,0.6,2
20.195715,106.105088,Ninh Bình,24,north,0,2,0,landslide,1,4,2,2,0.2,1
22.994041,104.851045,Hà Giang,14,north,0,12,1,storm,2,4,5,1,0.4,1
20.347462,106.139104,Ninh Bình,24,north,0,3,0,flood,0,4,2,2,0.2,1
21.150872,105.994855,Bắc Giang,17,north,0,11,1,storm,2,3,2,2,0.8,1
20.617504,106.763326,Hải Dương,19,north,0,7,2,flood,0,3,1,2,0.7,3
10.168598,105.345259,An Giang,56,south,3,12,1,storm,2,5,1,1,0.4,1
18.82716,105.453543,Hà Tĩnh,27,central,1,11,1,landslide,1,5,3,5,0.8,3
14.684304,108.5924,Quảng Ngãi,33,central,1,11,1,flood,0,5,3,4,0.9,4
10.584339,105.989679,Vĩnh Long,54,south,3,1,0,flood,0,4,1,1,0.3,1
20.730505,105.741569,Hưng Yên,20,north,0,9,2,storm,2,3,1,2,0.9,2
21.073852,104.095175,Sơn La,6,north,0,3,0,flood,0,3,5,2,0.2,1
10.650078,106.127418,Long An,50,south,3,12,1,storm,2,4,1,1,0.4,1
21.800052,104.69538,Yên Bái,4,north,0,12,1,storm,2,4,4,2,0.4,1
11.581253,105.626979,Tây Ninh,46,south,3,2,0,flood,0,2,1,1,0.2,1
20.54269,106.459322,Hưng Yên,20,north,0,1,0,flood,0,3,1,2,0.3,1
17.87749,106.50233,Quảng Bình,28,central,1,2,0,storm,2,5,4,5,0.1,1
16.320953,108.166937,Đà Nẵng,31,central,1,6,2,flood,0,4,2,4,0.6,3
11.108187,106.599256,TP.HCM,44,south,3,6,2,flood,0,4,1,2,0.6,2
9.754431,105.140132,Kiên Giang,57,south,3,5,1,storm,2,4,1,2,0.3,1
17.085364,107.384925,Quảng Trị,29,central,1,7,2,storm,2,5,4,5,0.6,3
21.307253,105.802055,Hà Nội,0,north,0,9,2,flood,0,3,1,2,1.0,3
9.725986,106.169101,Trà Vinh,53,south,3,2,0,storm,2,4,1,2,0.1,1
16.204505,108.65874,Đà Nẵng,31,central,1,4,0,storm,2,4,2,4,0.2,1
19.760801,106.095436,Ninh Bình,24,north,0,8,2,storm,2,4,2,2,0.7,1
10.800541,106.70253,Long An,50,south,3,9,2,storm,2,4,1,1,0.9,1
20.345157,106.279661,Hà Nam,22,north,0,1,0,storm,2,3,1,2,0.2,1
16.955042,107.458904,Quảng Trị,29,central,1,2,0,storm,2,5,4,5,0.1,1
22.442513,103.463201,Lai Châu,7,north,0,10,2,storm,2,4,5,1,1.0,1
20.451881,105.489354,Hòa Bình,8,north,0,7,2,landslide,1,3,4,2,0.7,3
16.520417,108.05275,Thừa Thiên Huế,30,central,1,6,2,landslide,1,5,4,5,0.6,2
10.815185,106.140481,Đồng Tháp,55,south,3,6,2,storm,2,5,1,1,0.5,1
9.909297,105.037521,Kiên Giang,57,south,3,8,2,flood,0,4,1,2,0.8,3
11.927478,107.864524,Đắk Nông,42,highlands,2,10,2,storm,2,3,4,2,1.0,2
22.598698,106.101551,Cao Bằng,11,north,0,3,0,storm,2,3,4,2,0.1,1
10.506646,105.934353,Vĩnh Long,54,south,3,9,2,landslide,1,4,1,1,1.0,1
10.536071,107.499142,Bà Rịa-Vũng Tàu,49,south,3,3,0,storm,2,3,1,2,0.1,1
17.070366,106.694071,Quảng Bình,28,central,1,2,0,storm,2,5,4,5,0.1,1
20.546251,105.245479,Hòa Bình,8,north,0,8,2,landslide,1,3,4,2,0.8,3
10.596543,107.163707,Đồng Nai,48,south,3,8,2,flood,0,3,1,2,0.8,2
22.799973,103.139113,Lai Châu,7,north,0,12,1,landslide,1,4,5,1,0.4,2
10.061615,106.81712,Bà Rịa-Vũng Tàu,49,south,3,9,2,storm,2,3,1,2,0.9,2
14.539595,107.567289,Kon Tum,39,highlands,2,5,1,landslide,1,3,4,2,0.5,2
21.434967,106.597807,Lạng Sơn,10,north,0,8,2,storm,2,3,3,2,0.7,1
10.602543,108.280123,Bình Thuận,38,central,1,9,2,storm,2,3,2,3,0.9,3
16.780147,107.502141,Quảng Trị,29,central,1,12,1,flood,0,5,4,5,0.5,3
9.20588,105.813046,Sóc Trăng,60,south,3,7,2,flood,0,4,1,2,0.7,3
14.849033,107.848534,Kon Tum,39,highlands,2,12,1,landslide,1,3,4,2,0.4,2
20.648243,105.817571,Ninh Bình,24,north,0,1,0,storm,2,4,2,2,0.2,1
10.715551,107.600192,Bà Rịa-Vũng Tàu,49,south,3,10,2,landslide,1,3,1,2,1.0,1
21.24103,106.82281,Hải Phòng,1,north,0,6,2,flood,0,4,1,3,0.6,3
20.192678,106.119429,Thái Bình,21,north,0,11,1,storm,2,4,1,3,0.8,2
20.140072,106.299947,Hà Nam,22,north,0,3,0,storm,2,3,1,2,0.1,1
10.878795,107.008391,Đồng Nai,48,south,3,2,0,flood,0,3,1,2,0.2,1
10.367857,105.147521,Kiên Giang,57,south,3,10,2,landslide,1,4,1,2,1.0,1
21.268503,105.729223,Bắc Ninh,18,north,0,4,0,storm,2,2,1,2,0.2,1
11.864275,107.812808,Đắk Nông,42,highlands,2,1,0,landslide,1,3,4,2,0.3,2
9.801693,106.213321,Sóc Trăng,60,south,3,11,1,storm,2,4,1,2,0.8,2
20.129476,106.111395,Thái Bình,21,north,0,4,0,landslide,1,4,1,3,0.3,1
10.996055,107.905735,Bình Thuận,38,central,1,2,0,flood,0,3,2,3,0.2,1
15.914829,108.602527,Quảng Nam,32,central,1,11,1,storm,2,5,4,5,0.8,4
11.9048,108.606316,Khánh Hòa,36,central,1,11,1,storm,2,4,2,4,0.8,4
21.268688,107.482737,Quảng Ninh,2,north,0,1,0,landslide,1,3,2,3,0.3,1
23.117486,105.117919,Hà Giang,14,north,0,2,0,landslide,1,4,5,1,0.2,1
21.927079,105.61085,Tuyên Quang,13,north,0,1,0,flood,0,3,3,2,0.3,1
10.53834,105.437953,Cần Thơ,58,south,3,5,1,flood,0,4,1,1,0.5,2
18.835929,105.961471,Hà Tĩnh,27,central,1,6,2,landslide,1,5,3,5,0.6,2
11.18024,109.474309,Ninh Thuận,37,central,1,1,0,storm,2,3,2,3,0.2,1
21.484053,105.340831,Yên Bái,4,north,0,11,1,flood,0,4,4,2,0.9,4
16.751247,106.769115,Quảng Trị,29,central,1,8,2,storm,2,5,4,5,0.7,3
22.380904,104.702746,Hà Giang,14,north,0,1,0,storm,2,4,5,1,0.2,1
20.857196,106.879125,Quảng Ninh,2,north,0,7,2,landslide,1,3,2,3,0.7,1
10.9052,106.424635,Tây Ninh,46,south,3,12,1,storm,2,2,1,1,0.4,1
19.44955,104.971178,Nghệ An,26,central,1,6,2,landslide,1,5,4,4,0.6,3
10.070476,104.684503,Kiên Giang,57,south,3,2,0,flood,0,4,1,2,0.2,1
10.054349,106.214456,Vĩnh Long,54,south,3,4,0,flood,0,4,1,1,0.3,1
13.305991,109.312052,Phú Yên,35,central,1,11,1,storm,2,4,2,4,0.8,3
21.624129,106.117205,Bắc Ninh,18,north,0,8,2,storm,2,2,1,2,0.7,2
10.660288,106.151643,Vĩnh Long,54,south,3,5,1,flood,0,4,1,1,0.5,2
12.662124,107.765559,Đắk Lắk,41,highlands,2,2,0,landslide,1,3,3,2,0.2,1
20.560589,107.364789,Quảng Ninh,2,north,0,9,2,storm,2,3,2,3,0.9,3
21.615954,105.389137,Tuyên Quang,13,north,0,7,2,flood,0,3,3,2,0.7,2
14.255118,109.169785,Bình Định,34,central,1,1,0,landslide,1,4,3,4,0.3,1
12.131549,109.160577,Khánh Hòa,36,central,1,8,2,flood,0,4,2,4,0.8,3
20.793297,106.199901,Bắc Ninh,18,north,0,4,0,flood,0,2,1,2,0.3,1
22.423798,105.704764,Bắc Kạn,12,north,0,8,2,landslide,1,3,4,2,0.8,4
10.735175,106.989124,Bà Rịa-Vũng Tàu,49,south,3,11,1,storm,2,3,1,2,0.8,1
13.096642,109.444521,Phú Yên,35,central,1,9,2,landslide,1,4,2,4,1.0,2
18.906681,104.700634,Nghệ An,26,central,1,9,2,flood,0,5,4,4,1.0,5
11.135396,106.336926,Bình Dương,47,south,3,3,0,storm,2,3,1,1,0.1,1
9.265166,105.171871,Hậu Giang,59,south,3,12,1,storm,2,4,1,1,0.4,1
11.310123,106.121302,Bình Dương,47,south,3,4,0,storm,2,3,1,1,0.2,1
15.754028,108.959654,Quảng Nam,32,central,1,2,0,flood,0,5,4,5,0.2,1
20.077139,106.496449,Thái Bình,21,north,0,5,1,storm,2,4,1,3,0.3,1
15.138005,108.364689,Quảng Ngãi,33,central,1,6,2,landslide,1,5,3,4,0.6,2
20.429875,106.6508,Nam Định,23,north,0,12,1,flood,0,4,1,3,0.5,2
15.960377,108.692035,Quảng Nam,32,central,1,5,1,storm,2,5,4,5,0.3,1
20.358675,106.497369,Hưng Yên,20,north,0,10,2,storm,2,3,1,2,1.0,2
16.124257,107.730237,Thừa Thiên Huế,30,central,1,2,0,landslide,1,5,4,5,0.2,1
23.026816,106.443184,Cao Bằng,11,north,0,2,0,flood,0,3,4,2,0.2,1
10.933217,106.810932,Bình Dương,47,south,3,5,1,flood,0,3,1,1,0.5,1
19.080894,104.612208,Nghệ An,26,central,1,12,1,flood,0,5,4,4,0.5,2
10.179109,105.645527,Đồng Tháp,55,south,3,9,2,flood,0,5,1,1,1.0,5
11.230504,108.142902,Bình Thuận,38,central,1,9,2,flood,0,3,2,3,1.0,3
16.095331,108.036312,Đà Nẵng,31,central,1,2,0,landslide,1,4,2,4,0.2,1
21.283199,106.022919,Vĩnh Phúc,16,north,0,1,0,landslide,1,2,1,2,0.3,1
19.463341,105.368403,Thanh Hóa,25,central,1,2,0,landslide,1,5,3,4,0.2,1
20.350842,105.72916,Nam Định,23,north,0,7,2,landslide,1,4,1,3,0.7,1
21.182522,105.628004,Thái Nguyên,9,north,0,8,2,flood,0,3,2,2,0.8,3
21.49566,105.715231,Thái Nguyên,9,north,0,11,1,flood,0,3,2,2,0.9,2
9.248657,105.97842,Sóc Trăng,60,south,3,8,2,storm,2,4,1,2,0.7,1
21.178167,107.653729,Quảng Ninh,2,north,0,5,1,storm,2,3,2,3,0.3,1
15.495931,108.382545,Quảng Nam,32,central,1,9,2,landslide,1,5,4,5,1.0,4
13.749023,107.549201,Gia Lai,40,highlands,2,5,1,storm,2,3,3,2,0.3,1
10.68613,106.086721,Bến Tre,52,south,3,5,1,flood,0,4,1,2,0.5,2
21.840725,106.231457,Bắc Kạn,12,north,0,2,0,storm,2,3,4,2,0.1,1
10.169928,106.663622,Long An,50,south,3,3,0,flood,0,4,1,1,0.2,1
10.0346,106.729984,Bà Rịa-Vũng Tàu,49,south,3,5,1,storm,2,3,1,2,0.3,1
17.154609,106.984672,Quảng Trị,29,central,1,11,1,storm,2,5,4,5,0.8,4
22.481289,103.759618,Lai Châu,7,north,0,8,2,landslide,1,4,5,1,0.8,4
22.876063,104.0978,Lào Cai,3,north,0,3,0,landslide,1,4,5,2,0.2,1
19.149308,104.552618,Nghệ An,26,central,1,1,0,flood,0,5,4,4,0.3,1
10.867493,106.886765,Đồng Nai,48,south,3,5,1,landslide,1,3,1,2,0.5,1
21.151354,105.53366,Thái Nguyên,9,north,0,10,2,storm,2,3,2,2,1.0,2
20.597625,106.116768,Hưng Yên,20,north,0,1,0,flood,0,3,1,2,0.3,1
16.380941,107.762551,Thừa Thiên Huế,30,central,1,5,1,storm,2,5,4,5,0.3,2
14.209651,108.495507,Kon Tum,39,highlands,2,2,0,storm,2,3,4,2,0.1,1
20.440323,106.514462,Hải Phòng,1,north,0,7,2,landslide,1,4,1,3,0.7,1
13.881123,108.061305,Gia Lai,40,highlands,2,3,0,landslide,1,3,3,2,0.2,1
10.636691,106.089522,Đồng Tháp,55,south,3,9,2,storm,2,5,1,1,0.9,1
11.786057,106.254552,Tây Ninh,46,south,3,2,0,storm,2,2,1,1,0.1,1
22.883903,104.569681,Hà Giang,14,north,0,11,1,landslide,1,4,5,1,0.8,4
21.111683,106.383867,Hải Dương,19,north,0,9,2,landslide,1,3,1,2,1.0,1
22.527742,106.293788,Bắc Kạn,12,north,0,5,1,storm,2,3,4,2,0.3,1
10.651892,108.40024,Bình Thuận,38,central,1,10,2,storm,2,3,2,3,1.0,3
9.495478,105.858737,Hậu Giang,59,south,3,1,0,flood,0,4,1,1,0.3,1
21.215056,105.961497,Bắc Ninh,18,north,0,8,2,flood,0,2,1,2,0.8,2
19.980657,106.015592,Thanh Hóa,25,central,1,1,0,storm,2,5,3,4,0.2,1
10.984171,106.326352,Bình Dương,47,south,3,8,2,flood,0,3,1,1,0.8,2
20.906214,105.730649,Hà Nam,22,north,0,12,1,storm,2,3,1,2,0.4,1
10.777231,105.254366,An Giang,56,south,3,12,1,flood,0,5,1,1,0.5,3
10.577743,106.321636,TP.HCM,44,south,3,5,1,landslide,1,4,1,2,0.5,1
22.238377,103.443468,Lai Châu,7,north,0,4,0,flood,0,4,5,1,0.3,1
11.255157,107.01321,Bình Phước,45,south,3,2,0,landslide,1,2,2,1,0.2,1
11.61243,106.483429,Bình Dương,47,south,3,11,1,flood,0,3,1,1,0.9,3
12.55471,108.92326,Khánh Hòa,36,central,1,4,0,storm,2,4,2,4,0.2,1
8.725266,104.699938,Cà Mau,62,south,3,4,0,storm,2,4,1,2,0.2,1
21.178869,106.338254,Hà Nội,0,north,0,7,2,storm,2,3,1,2,0.6,2
20.616162,105.063415,Hòa Bình,8,north,0,11,1,landslide,1,3,4,2,0.8,3
13.82608,107.878965,Gia Lai,40,highlands,2,5,1,flood,0,3,3,2,0.5,2
19.836304,105.906435,Thanh Hóa,25,central,1,7,2,flood,0,5,3,4,0.7,3
11.309924,106.212439,Bình Dương,47,south,3,12,1,flood,0,3,1,1,0.5,1
14.714117,107.892466,Kon Tum,39,highlands,2,3,0,storm,2,3,4,2,0.1,1
10.600357,105.648708,Đồng Tháp,55,south,3,4,0,storm,2,5,1,1,0.2,1
16.169306,107.282452,Thừa Thiên Huế,30,central,1,10,2,landslide,1,5,4,5,1.0,4
17.090819,107.492382,Quảng Trị,29,central,1,1,0,flood,0,5,4,5,0.3,2
13.122918,109.580392,Phú Yên,35,central,1,2,0,flood,0,4,2,4,0.2,1
21.051303,106.149084,Hải Dương,19,north,0,2,0,storm,2,3,1,2,0.1,1
20.781449,105.412562,Hòa Bình,8,north,0,1,0,storm,2,3,4,2,0.2,1
20.676339,106.655399,Nam Định,23,north,0,4,0,landslide,1,4,1,3,0.3,1
12.88014,107.929067,Đắk Lắk,41,highlands,2,9,2,landslide,1,3,3,2,1.0,3
21.194527,103.48377,Sơn La,6,north,0,3,0,landslide,1,3,5,2,0.2,1
11.558306,106.882964,Bình Dương,47,south,3,4,0,flood,0,3,1,1,0.3,1
10.223487,105.743087,Đồng Tháp,55,south,3,10,2,flood,0,5,1,1,1.0,5
11.707837,106.450682,Bình Phước,45,south,3,10,2,flood,0,2,2,1,1.0,2
10.554116,106.88706,Long An,50,south,3,5,1,flood,0,4,1,1,0.5,2
20.817436,106.68952,Bắc Giang,17,north,0,1,0,storm,2,3,2,2,0.2,1
13.838419,107.771344,Gia Lai,40,highlands,2,10,2,landslide,1,3,3,2,1.0,3
17.122076,107.424193,Quảng Trị,29,central,1,7,2,landslide,1,5,4,5,0.7,2
22.322629,106.39619,Lạng Sơn,10,north,0,6,2,flood,0,3,3,2,0.6,1
9.958931,106.595996,Bến Tre,52,south,3,1,0,storm,2,4,1,2,0.2,1
21.029422,106.524601,Bắc Giang,17,north,0,12,1,storm,2,3,2,2,0.4,1
22.236153,105.88168,Bắc Kạn,12,north,0,1,0,storm,2,3,4,2,0.2,1
9.922051,106.50493,Bến Tre,52,south,3,6,2,landslide,1,4,1,2,0.6,1
10.689946,105.439417,Đồng Tháp,55,south,3,8,2,storm,2,5,1,1,0.7,1
9.274924,106.153164,Bạc Liêu,61,south,3,4,0,storm,2,4,1,2,0.2,1
18.993067,104.808923,Nghệ An,26,central,1,9,2,landslide,1,5,4,4,1.0,4
21.203904,105.494434,Hà Nội,0,north,0,1,0,storm,2,3,1,2,0.2,1
16.757282,107.015678,Quảng Trị,29,central,1,9,2,storm,2,5,4,5,0.9,5
20.369515,106.033381,Thái Bình,21,north,0,7,2,flood,0,4,1,3,0.7,3
10.343289,105.155844,Kiên Giang,57,south,3,4,0,storm,2,4,1,2,0.2,1
12.73772,109.460851,Khánh Hòa,36,central,1,7,2,storm,2,4,2,4,0.6,2
10.081933,105.964307,Trà Vinh,53,south,3,1,0,flood,0,4,1,2,0.3,1
19.971074,105.608939,Thanh Hóa,25,central,1,3,0,storm,2,5,3,4,0.1,1
21.082531,103.42928,Điện Biên,5,north,0,3,0,landslide,1,3,4,1,0.2,1
15.275932,108.728638,Quảng Ngãi,33,central,1,8,2,flood,0,5,3,4,0.8,4
10.072029,105.171294,An Giang,56,south,3,4,0,flood,0,5,1,1,0.3,1
14.133527,108.491552,Gia Lai,40,highlands,2,3,0,flood,0,3,3,2,0.2,1
13.613423,108.394354,Gia Lai,40,highlands,2,5,1,storm,2,3,3,2,0.3,1
10.27924,105.93039,Long An,50,south,3,11,1,flood,0,4,1,1,0.9,4
11.308361,106.687154,Bình Phước,45,south,3,7,2,landslide,1,2,2,1,0.7,1
12.625493,109.331002,Khánh Hòa,36,central,1,4,0,flood,0,4,2,4,0.3,2
10.417354,106.755133,Bến Tre,52,south,3,12,1,storm,2,4,1,2,0.4,1
20.746198,105.740262,Ninh Bình,24,north,0,6,2,storm,2,4,2,2,0.5,1
13.78362,108.852144,Bình Định,34,central,1,11,1,flood,0,4,3,4,0.9,3
11.841398,108.403179,Lâm Đồng,43,highlands,2,2,0,landslide,1,3,4,2,0.2,1
20.792887,106.813572,Thái Bình,21,north,0,9,2,storm,2,4,1,3,0.9,3
12.303981,107.415063,Đắk Nông,42,highlands,2,7,2,storm,2,3,4,2,0.6,1
